HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"384 Quốc Lộ 20, Lien Nghia Việt Nam",NA,NA,NA,,,Nha Nghi Hoan My,Lien Nghia,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Lien Nghia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g19844636-d23487948-Reviews-Nha_Nghi_Hoan_My-Lien_Nghia_Lam_Dong_Province.html
"Số 1 đường Võ Văn Kiệt, Dong Ahn, Hà Nội Việt Nam",NA,NA,NA,,,Khach San Minh Huyen Thang Long,Dong Ahn,Việt Nam,"Việt Nam,Hà Nội,Dong Ahn","Gần Khach San Minh Huyen Thang Long có điểm du lịch nổi tiếng nào?, ,Gần Khach San Minh Huyen Thang Long có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g23257261-d23256810-Reviews-Khach_San_Minh_Huyen_Thang_Long-Dong_Ahn_Hanoi.html
"Đường Thánh Tâm Số 100, Đà Lạt Việt Nam",3,45,NA,,,Villa Duc Minh,465.116 ₫,465.116 ₫,"465.116 ₫, - ,465.116 ₫","Gần Villa Duc Minh có điểm du lịch nổi tiếng nào?, ,Gần Villa Duc Minh có nhà hàng nào?, ",NA,NA,NA,NA,NA,10,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23515465-Reviews-Villa_Duc_Minh-Da_Lat_Lam_Dong_Province.html
"41 Đuong Hoang Van Thu, phuong 5, Đà Lạt Việt Nam",93,41,NA,,,Da Lat Cam ly Hotel,488.372 ₫,395.349 ₫,"395.349 ₫, - ,488.372 ₫","Gần Da Lat Cam ly Hotel có điểm du lịch nổi tiếng nào?, ,Gần Da Lat Cam ly Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,521,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23241835-Reviews-Da_Lat_Cam_ly_Hotel-Da_Lat_Lam_Dong_Province.html
"10 Vo Nguyen Giap stresst, Thai Phu, Hà Nội 100000 Việt Nam",NA,NA,32,"Tiếng Việt, Tiếng Anh",,Airport Classic Hotel & Travel,627.907 ₫,488.372 ₫,"488.372 ₫, - ,627.907 ₫","Airport Classic Hotel & Travel có những tiện nghi tại cơ sở kinh doanh gì?, ,Airport Classic Hotel & Travel có những tiện nghi phòng gì?, ,Airport Classic Hotel & Travel có những lựa chọn đồ ăn & đồ uống gì?, ,Airport Classic Hotel & Travel có chỗ đỗ xe không?, ,Gần Airport Classic Hotel & Travel có nhà hàng nào?, ,Airport Classic Hotel & Travel có dịch vụ đưa đón tại sân bay không?, ,Airport Classic Hotel & Travel có dịch vụ đưa đón tại sân bay không?, ,Airport Classic Hotel & Travel có dịch vụ dọn phòng không?, ,Airport Classic Hotel & Travel có cho phép vật nuôi không?, ,Airport Classic Hotel & Travel có cung cấp dịch vụ doanh nghiệp nào không?, ",5,2,NA,50,NA,NA,Tuyệt vời,20,NA,,2,https://www.tripadvisor.com.vn/Hotel_Review-g21157074-d21206277-Reviews-Airport_Classic_Hotel_Travel-Thai_Phu_Hanoi.html
"Ngô Tất Tố, Bắc Ninh 220000 Việt Nam",NA,NA,6,,,Queen Hotel Bac Ninh,Bắc Ninh,Việt Nam,"Việt Nam,Tỉnh Bắc Ninh,Bắc Ninh","Queen Hotel Bac Ninh có những tiện nghi tại cơ sở kinh doanh gì?, ,Queen Hotel Bac Ninh có những lựa chọn đồ ăn & đồ uống gì?, ,Queen Hotel Bac Ninh có chỗ đỗ xe không?, ,Gần Queen Hotel Bac Ninh có nhà hàng nào?, ,Queen Hotel Bac Ninh có dịch vụ đưa đón tại sân bay không?, ",2,NA,NA,NA,NA,NA,NA,50,NA,,2,https://www.tripadvisor.com.vn/Hotel_Review-g2082662-d15512778-Reviews-Queen_Hotel_Bac_Ninh-Bac_Ninh_Bac_Ninh_Province.html
"15B Cao Thang, District 7, Đà Lạt 670000 Việt Nam",NA,NA,NA,,,Dalat Cil's Home,Đà Lạt,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Đà Lạt","Gần Dalat Cil's Home có điểm du lịch nổi tiếng nào?, ,Gần Dalat Cil's Home có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d21348133-Reviews-Dalat_Cil_s_Home-Da_Lat_Lam_Dong_Province.html
"12B Huyền Trân Công Chúa, Phường 4, Đà Lạt Việt Nam",4,57,NA,,,Villa Bao Duy,674.419 ₫,488.372 ₫,"488.372 ₫, - ,674.419 ₫","Gần Villa Bao Duy có điểm du lịch nổi tiếng nào?, ,Gần Villa Bao Duy có nhà hàng nào?, ",NA,NA,NA,NA,NA,20,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d21134654-Reviews-Villa_Bao_Duy-Da_Lat_Lam_Dong_Province.html
"Hoang Van Thu Street C32KQH Hoang Van Thu, Đà Lạt Việt Nam",93,42,NA,,,Khanh Sang,Đà Lạt,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Đà Lạt","Gần Khanh Sang có điểm du lịch nổi tiếng nào?, ,Gần Khanh Sang có nhà hàng nào?, ",NA,NA,NA,NA,NA,521,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23277928-Reviews-Khanh_Sang-Da_Lat_Lam_Dong_Province.html
"94 Hoang Dieu Street, Đà Lạt Việt Nam",10,59,NA,,,Tropical Garden Homestay,1.279.070 ₫,1.023.256 ₫,"1.023.256 ₫, - ,1.279.070 ₫","Gần Tropical Garden Homestay có điểm du lịch nổi tiếng nào?, ,Gần Tropical Garden Homestay có nhà hàng nào?, ",NA,NA,NA,NA,NA,57,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23527432-Reviews-Tropical_Garden_Homestay-Da_Lat_Lam_Dong_Province.html
"27 Đuong Ma Trang Son, Đà Lạt Việt Nam",11,61,NA,,,Khach San Ha Anh Da Lat,Đà Lạt,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Đà Lạt","Gần Khach San Ha Anh Da Lat có điểm du lịch nổi tiếng nào?, ,Gần Khach San Ha Anh Da Lat có nhà hàng nào?, ",NA,NA,NA,NA,NA,69,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23284314-Reviews-Khach_San_Ha_Anh_Da_Lat-Da_Lat_Lam_Dong_Province.html
"32 uong Mau Tam So 32, Đuong Mau Tam, Phuong 4, Đà Lạt Việt Nam",3,56,NA,,,Nhà Mình,1.139.535 ₫,581.395 ₫,"581.395 ₫, - ,1.139.535 ₫","Gần Nhà Mình có điểm du lịch nổi tiếng nào?, ,Gần Nhà Mình có nhà hàng nào?, ",NA,NA,NA,NA,NA,22,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d21373309-Reviews-Nha_Minh-Da_Lat_Lam_Dong_Province.html
"B15 Bach Dang, Ngo Quyen, Ward 6, Đà Lạt Việt Nam",2,48,NA,,,Home - Gia Dinh Nho,Đà Lạt,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Đà Lạt","Gần Home - Gia Dinh Nho có điểm du lịch nổi tiếng nào?, ,Gần Home - Gia Dinh Nho có nhà hàng nào?, ",NA,NA,NA,NA,NA,10,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23218960-Reviews-Home_Gia_Dinh_Nho-Da_Lat_Lam_Dong_Province.html
"167 Đuong Ngo Thi Nham Phuong 4, Đà Lạt Việt Nam",8,63,NA,,,Nhep's House,Đà Lạt,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Đà Lạt","Gần Nhep's House có điểm du lịch nổi tiếng nào?, ,Gần Nhep's House có nhà hàng nào?, ",NA,NA,NA,NA,NA,46,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23273789-Reviews-Nhep_s_House-Da_Lat_Lam_Dong_Province.html
"Ngo Tat to Street, Bắc Ninh Việt Nam",NA,NA,NA,,,Best Hotel Bac Ninh,Bắc Ninh,Việt Nam,"Việt Nam,Tỉnh Bắc Ninh,Bắc Ninh","Gần Best Hotel Bac Ninh có điểm du lịch nổi tiếng nào?, ",NA,NA,NA,NA,20,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g2082662-d15190686-Reviews-Best_Hotel_Bac_Ninh-Bac_Ninh_Bac_Ninh_Province.html
"Hem 27 Le Hong Phong, Đà Lạt Việt Nam",7,67,NA,,,Da Lat An Nhien house,Đà Lạt,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Đà Lạt","Gần Da Lat An Nhien house có điểm du lịch nổi tiếng nào?, ,Gần Da Lat An Nhien house có nhà hàng nào?, ",NA,NA,NA,NA,NA,45,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23373173-Reviews-Da_Lat_An_Nhien_house-Da_Lat_Lam_Dong_Province.html
"23 Đường Thiện Ý, Đà Lạt Việt Nam",2,71,NA,,,L-V-D Home,Đà Lạt,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Đà Lạt","Gần L-V-D Home có điểm du lịch nổi tiếng nào?, ,Gần L-V-D Home có nhà hàng nào?, ",NA,NA,NA,NA,NA,21,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23344626-Reviews-L_V_D_Home-Da_Lat_Lam_Dong_Province.html
"55/11 Đuong Thien Y, Đà Lạt Việt Nam",13,65,NA,,,Ngo Gia Home,395.349 ₫,348.837 ₫,"348.837 ₫, - ,395.349 ₫","Gần Ngo Gia Home có điểm du lịch nổi tiếng nào?, ,Gần Ngo Gia Home có nhà hàng nào?, ",NA,NA,NA,NA,NA,67,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d21396405-Reviews-Ngo_Gia_Home-Da_Lat_Lam_Dong_Province.html
"Da Nghit - Suoi Vang - Lac Duong, Lac Duong 670000 Việt Nam",NA,NA,NA,,,Laan Dalat Resort & Spa,Lac Duong,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Lac Duong","Gần Laan Dalat Resort & Spa có điểm du lịch nổi tiếng nào?, ,Gần Laan Dalat Resort & Spa có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g14759657-d16806464-Reviews-Laan_Dalat_Resort_Spa-Lac_Duong_Lam_Dong_Province.html
"32-36 Đường Lê Thái Tổ, Võ Cường Dist, Bắc Ninh 790000 Việt Nam",NA,NA,11,"Tiếng Việt, Tiếng Anh, Tiếng Hàn",,CD Hotel,1.023.256 ₫,1.000.000 ₫,"1.000.000 ₫, - ,1.023.256 ₫","CD Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,CD Hotel có những tiện nghi phòng gì?, ,CD Hotel có những lựa chọn đồ ăn & đồ uống gì?, ,CD Hotel có chỗ đỗ xe không?, ,Gần CD Hotel có nhà hàng nào?, ,Tôi có thể tập thể dục tại CD Hotel không?, ,CD Hotel có dịch vụ đưa đón tại sân bay không?, ,Nhân viên tại CD Hotel nói ngôn ngữ gì?, ,Có di tích lịch sử nào gần CD Hotel không?, ",14,NA,NA,NA,NA,NA,NA,98,NA,,14,https://www.tripadvisor.com.vn/Hotel_Review-g2082662-d20953081-Reviews-CD_Hotel-Bac_Ninh_Bac_Ninh_Province.html
"66 Tô Vĩnh Diện, Phường 7, Đà Lạt Việt Nam",3,52,NA,,,Lamui Homestay,Đà Lạt,Việt Nam,"Việt Nam,Tỉnh Lâm Đồng,Đà Lạt","Gần Lamui Homestay có điểm du lịch nổi tiếng nào?, ,Gần Lamui Homestay có nhà hàng nào?, ",NA,NA,NA,NA,NA,21,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23275834-Reviews-Lamui_Homestay-Da_Lat_Lam_Dong_Province.html
"No.6 Lane 84 Dam Quang Trung Street Long Bien District, Hà Nội Việt Nam",NA,NA,NA,,,RedDoorz near Aeon Mall Long Bien,12,Việt Nam,"Việt Nam,Hà Nội,12","Gần RedDoorz near Aeon Mall Long Bien có điểm du lịch nổi tiếng nào?, ,Gần RedDoorz near Aeon Mall Long Bien có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,12,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d19453310-Reviews-RedDoorz_near_Aeon_Mall_Long_Bien-Hanoi.html
"Dong Coi, Gia Dong Việt Nam",NA,NA,NA,,,Sun Hotel & Apartment,348.837 ₫,348.837 ₫,"348.837 ₫, - ,348.837 ₫","Gần Sun Hotel & Apartment có điểm du lịch nổi tiếng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g21122327-d21121922-Reviews-Sun_Hotel_Apartment-Gia_Dong_Bac_Ninh_Province.html
"102/1A Cong Quynh District 1, Thành phố Hồ Chí Minh 848 Việt Nam",48,91,32,"Tiếng Việt, Tiếng Anh",,Saigon Zoom Hotel,20,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh,20","Gần Saigon Zoom Hotel có điểm du lịch nổi tiếng nào?, ,Saigon Zoom Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,Saigon Zoom Hotel có những tiện nghi phòng gì?, ,Saigon Zoom Hotel có những lựa chọn đồ ăn & đồ uống gì?, ,Saigon Zoom Hotel có chỗ đỗ xe không?, ,Gần Saigon Zoom Hotel có nhà hàng nào?, ,Saigon Zoom Hotel có dịch vụ dọn phòng không?, ,Nhân viên tại Saigon Zoom Hotel nói ngôn ngữ gì?, ,Có di tích lịch sử nào gần Saigon Zoom Hotel không?, ",14,116,#214 trong số 1.552  tại Thành phố Hồ Chí Minh,40,20,345,Rất tốt,20,Bình dân,,1,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1113201-Reviews-Saigon_Zoom_Hotel-Ho_Chi_Minh_City.html
"Phường Hưng Dũng Dại Lộ Lê Nin, Vinh Việt Nam",NA,NA,NA,,,Khách San Toàn Thắng Stone,790.698 ₫,697.674 ₫,"697.674 ₫, - ,790.698 ₫","Gần Khách San Toàn Thắng Stone có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d21370353-Reviews-Khach_San_Toan_Th_ng_Stone-Vinh_Nghe_An_Province.html
"Nguyen Nang Tinh, Thu Thuy, Cửa Lò Việt Nam",NA,NA,NA,,,Bao Nam Hotel,Cửa Lò,Việt Nam,"Việt Nam,Tỉnh Nghệ An,Cửa Lò","Gần Bao Nam Hotel có điểm du lịch nổi tiếng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g4235728-d10713876-Reviews-Bao_Nam_Hotel-Cua_Lo_Nghe_An_Province.html
"222a Nguyen Sy Sach, Hung Dung, Vinh Việt Nam",NA,NA,NA,,,Truc Mai Hotel,Vinh,Việt Nam,"Việt Nam,Tỉnh Nghệ An,Vinh","Gần Truc Mai Hotel có điểm du lịch nổi tiếng nào?, ,Gần Truc Mai Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d21187438-Reviews-Truc_Mai_Hotel-Vinh_Nghe_An_Province.html
"151 Pham Ngoc Hung, Ninh Kieu Việt Nam",41,38,NA,,,Khach San Tuyet,Ninh Kieu,Việt Nam,"Việt Nam,Đồng bằng Mekong,Ninh Kieu","Gần Khach San Tuyet có điểm du lịch nổi tiếng nào?, ,Gần Khach San Tuyet có nhà hàng nào?, ",NA,NA,NA,NA,NA,201,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g17522097-d21273736-Reviews-Khach_San_Tuyet-Ninh_Kieu_Mekong_Delta.html
"18 Luu Huu Phuoc, Quy Nhơn Việt Nam",2,44,NA,,,Flower Hotel,2.023.256 ₫,2.000.000 ₫,"2.000.000 ₫, - ,2.023.256 ₫","Gần Flower Hotel có điểm du lịch nổi tiếng nào?, ,Gần Flower Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,25,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g608528-d21505995-Reviews-Flower_Hotel-Quy_Nhon_Binh_Dinh_Province.html
"Thôn Thành Vân, Xuan Thanh 480000 Việt Nam",NA,NA,NA,,,Mường Thanh Luxury Hotel,Xuan Thanh,Việt Nam,"Việt Nam,Tỉnh Hà Tĩnh,Xuan Thanh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g23500475-d23498807-Reviews-Mu_ng_Thanh_Luxury_Hotel-Xuan_Thanh_Ha_Tinh_Province.html
"71 Tran Anh Tong, Quy Nhơn Việt Nam",2,50,NA,,,Kim Ngan Hotel,395.349 ₫,372.093 ₫,"372.093 ₫, - ,395.349 ₫","Gần Kim Ngan Hotel có điểm du lịch nổi tiếng nào?, ,Gần Kim Ngan Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,34,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g608528-d21507680-Reviews-Kim_Ngan_Hotel-Quy_Nhon_Binh_Dinh_Province.html
"So 54-56 Bui Quang Trinh, Phu Thu, Cai Rang Việt Nam",NA,NA,NA,,,Khach san Diem Ngoc,255.814 ₫,255.814 ₫,"255.814 ₫, - ,255.814 ₫","Gần Khach san Diem Ngoc có điểm du lịch nổi tiếng nào?, ,Gần Khach san Diem Ngoc có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293921-d23261804-Reviews-Khach_san_Diem_Ngoc-Vietnam.html
"N6 Đinh Công Tráng, Cần Thơ Việt Nam",5,61,NA,"Tiếng Anh, Tiếng Pháp, Tiếng Tây Ban Nha, Tiếng Ý",,Quynh Anh Motel,Cần Thơ,Việt Nam,"Việt Nam,Đồng bằng Mekong,Cần Thơ","Gần Quynh Anh Motel có điểm du lịch nổi tiếng nào?, ,Gần Quynh Anh Motel có nhà hàng nào?, ,Nhân viên tại Quynh Anh Motel nói ngôn ngữ gì?, ",NA,NA,NA,NA,NA,32,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d12448749-Reviews-Quynh_Anh_Motel-Can_Tho_Mekong_Delta.html
"205 Can Vuong, Quy Nhơn Việt Nam",2,51,NA,,,Hai Yen,Quy Nhơn,Việt Nam,"Việt Nam,Tỉnh Bình Định,Quy Nhơn","Gần Hai Yen có điểm du lịch nổi tiếng nào?, ",NA,NA,NA,NA,NA,14,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g608528-d18189357-Reviews-Hai_Yen-Quy_Nhon_Binh_Dinh_Province.html
"96 Xuan Dieu, Quy Nhơn Việt Nam",1,40,NA,,,Viet Nam Taste Hotel,1.162.791 ₫,674.419 ₫,"674.419 ₫, - ,1.162.791 ₫","Gần Viet Nam Taste Hotel có điểm du lịch nổi tiếng nào?, ,Gần Viet Nam Taste Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,14,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g608528-d23206924-Reviews-Viet_Nam_Taste_Hotel-Quy_Nhon_Binh_Dinh_Province.html
"50 Lê Lợi, Quy Nhơn Việt Nam",4,51,NA,,,Aloha Quy Nhon,511.628 ₫,325.581 ₫,"325.581 ₫, - ,511.628 ₫","Gần Aloha Quy Nhon có điểm du lịch nổi tiếng nào?, ",NA,NA,NA,NA,NA,40,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g608528-d23380920-Reviews-Aloha_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html
